,Max 8-Hour O3,ozone_concern,ozone_threshold,Cook,Dallas,Harris,Los Angeles,Maricopa,Miami-Dade,Orange,Queens,Riverside,San Diego,greater3.26,less3.26
0,-1.1752775822368482,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,-1.7455553565014654,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,-1.9990121450635177,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,-1.8722837507824914,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4,-1.4920985679394134,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5,-0.79509239939377,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6,-1.4920985679394134,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7,-1.2386417793773614,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,-1.3653701736583874,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9,-1.3653701736583874,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10,-1.9356479479230044,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11,-0.9851849908153092,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12,-0.478271413691205,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,-1.0485491879558224,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14,-1.4287343707989004,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15,-0.6683640051127439,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16,-1.8722837507824914,0,0,1,0,0,0,0,0,0,0,0,0,1,0
17,-0.5416356108317181,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18,-0.6049998079722312,0,0,1,0,0,0,0,0,0,0,0,0,1,0
19,-0.79509239939377,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,-0.9218207936747962,0,0,1,0,0,0,0,0,0,0,0,0,1,0
21,-1.9356479479230044,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22,-1.3653701736583874,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23,-0.9851849908153092,0,0,1,0,0,0,0,0,0,0,0,0,1,0
24,-1.0485491879558224,0,0,1,0,0,0,0,0,0,0,0,0,1,0
25,-1.3020059765178742,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,-0.9218207936747962,0,0,1,0,0,0,0,0,0,0,0,0,1,0
27,-0.9218207936747962,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28,-0.8584565965342831,0,0,1,0,0,0,0,0,0,0,0,0,1,0
29,-1.6821911593609524,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30,-1.3020059765178742,0,0,1,0,0,0,0,0,0,0,0,0,1,0
31,-1.4287343707989004,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,-1.4920985679394134,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,-1.5554627650799264,0,0,1,0,0,0,0,0,0,0,0,0,1,0
34,-1.6821911593609524,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35,-0.9851849908153092,0,0,1,0,0,0,0,0,0,0,0,0,1,0
36,-1.3653701736583874,0,0,1,0,0,0,0,0,0,0,0,0,1,0
37,-0.8584565965342831,0,0,1,0,0,0,0,0,0,0,0,0,1,0
38,-0.79509239939377,0,0,1,0,0,0,0,0,0,0,0,0,1,0
39,-0.9851849908153092,0,0,1,0,0,0,0,0,0,0,0,0,1,0
40,-1.7455553565014654,0,0,1,0,0,0,0,0,0,0,0,0,1,0
41,-1.3020059765178742,0,0,1,0,0,0,0,0,0,0,0,0,1,0
42,-0.5416356108317181,0,0,1,0,0,0,0,0,0,0,0,0,1,0
43,-0.5416356108317181,0,0,1,0,0,0,0,0,0,0,0,0,1,0
44,-0.8584565965342831,0,0,1,0,0,0,0,0,0,0,0,0,1,0
45,-0.9218207936747962,0,0,1,0,0,0,0,0,0,0,0,0,1,0
