County,Max 8-Hour O3
Cook,0.028999999999999998
Cook,0.02
Cook,0.016
Cook,0.018000000000000002
Cook,0.024
Cook,0.035
Cook,0.024
Cook,0.027999999999999997
Cook,0.026000000000000002
Cook,0.026000000000000002
Cook,0.017
Cook,0.032
Cook,0.04
Cook,0.031
Cook,0.025
Cook,0.037000000000000005
Cook,0.018000000000000002
Cook,0.039
Cook,0.038
Cook,0.035
Cook,0.033
Cook,0.017
Cook,0.026000000000000002
Cook,0.032
Cook,0.031
Cook,0.027000000000000003
Cook,0.033
Cook,0.033
Cook,0.034
Cook,0.021
Cook,0.027000000000000003
Cook,0.025
Cook,0.024
Cook,0.023
Cook,0.021
Cook,0.032
Cook,0.026000000000000002
Cook,0.034
Cook,0.035
Cook,0.032
Cook,0.02
Cook,0.027000000000000003
Cook,0.039
Cook,0.039
Cook,0.034
Cook,0.033
Cook,0.040999999999999995
Cook,0.036000000000000004
Cook,0.036000000000000004
Cook,0.037000000000000005
Cook,0.040999999999999995
Cook,0.048
Cook,0.055999999999999994
Cook,0.033
Cook,0.049
Cook,0.035
Cook,0.037000000000000005
Cook,0.03
Cook,0.043
Cook,0.051
Cook,0.039
Cook,0.043
Cook,0.044000000000000004
Cook,0.048
Cook,0.049
Cook,0.048
Cook,0.040999999999999995
Cook,0.053
Cook,0.051
Cook,0.047
Cook,0.04
Cook,0.043
Cook,0.044000000000000004
Cook,0.048
Cook,0.05
Cook,0.049
Cook,0.051
Cook,0.035
Cook,0.04
Cook,0.048
Cook,0.046
Cook,0.044000000000000004
Cook,0.047
Cook,0.048
Cook,0.051
Cook,0.046
Cook,0.043
Cook,0.045
Cook,0.046
Cook,0.046
Cook,0.043
Cook,0.051
Cook,0.040999999999999995
Cook,0.034
Cook,0.054000000000000006
Cook,0.043
Cook,0.053
Cook,0.05
Cook,0.036000000000000004
Cook,0.040999999999999995
Cook,0.043
Cook,0.053
Cook,0.044000000000000004
Cook,0.049
Cook,0.055
Cook,0.052000000000000005
Cook,0.042
Cook,0.048
Cook,0.05
Cook,0.061
Cook,0.055999999999999994
Cook,0.047
Cook,0.046
Cook,0.057999999999999996
Cook,0.053
Cook,0.051
Cook,0.05
Cook,0.035
Cook,0.035
Cook,0.042
Cook,0.04
Cook,0.039
Cook,0.044000000000000004
Cook,0.06
Cook,0.047
Cook,0.042
Cook,0.046
Cook,0.037000000000000005
Cook,0.044000000000000004
Cook,0.047
Cook,0.047
Cook,0.047
Cook,0.052000000000000005
Cook,0.063
Cook,0.043
Cook,0.03
Cook,0.048
Cook,0.055
Cook,0.032
Cook,0.027999999999999997
Cook,0.057999999999999996
Cook,0.046
Cook,0.039
Cook,0.053
Cook,0.045
Cook,0.045
Cook,0.04
Cook,0.046
Cook,0.065
Cook,0.057999999999999996
Cook,0.053
Cook,0.042
Cook,0.036000000000000004
Cook,0.057999999999999996
Cook,0.075
Cook,0.045
Cook,0.062
Cook,0.055999999999999994
Cook,0.04
Cook,0.042
Cook,0.063
Cook,0.045
Cook,0.038
Cook,0.057
Cook,0.043
Cook,0.033
Cook,0.036000000000000004
Cook,0.059000000000000004
Cook,0.049
Cook,0.035
Cook,0.04
Cook,0.05
Cook,0.048
Cook,0.043
Cook,0.055
Cook,0.07200000000000001
Cook,0.069
Cook,0.071
Cook,0.079
Cook,0.066
Cook,0.067
Cook,0.061
Cook,0.073
Cook,0.062
Cook,0.071
Cook,0.049
Cook,0.035
Cook,0.061
Cook,0.079
Cook,0.064
Cook,0.051
Cook,0.068
Cook,0.07200000000000001
Cook,0.067
Cook,0.044000000000000004
Cook,0.036000000000000004
Cook,0.062
Cook,0.046
Cook,0.054000000000000006
Cook,0.05
Cook,0.039
Cook,0.034
Cook,0.048
Cook,0.039
Cook,0.069
Cook,0.062
Cook,0.061
Cook,0.061
Cook,0.046
Cook,0.038
Cook,0.036000000000000004
Cook,0.052000000000000005
Cook,0.068
Cook,0.08
Cook,0.061
Cook,0.064
Cook,0.054000000000000006
Cook,0.055
Cook,0.047
Cook,0.053
Cook,0.068
Cook,0.059000000000000004
Cook,0.06
Cook,0.053
Cook,0.05
Cook,0.042
Cook,0.05
Cook,0.037000000000000005
Cook,0.049
Cook,0.057
Cook,0.04
Cook,0.046
Cook,0.037000000000000005
Cook,0.031
Cook,0.036000000000000004
Cook,0.046
Cook,0.028999999999999998
Cook,0.039
Cook,0.035
Cook,0.048
Cook,0.05
Cook,0.040999999999999995
Cook,0.046
