,date_local,time_local,Ozone_Maricopa,Ozone_LosAngeles,Ozone_Cook,Ozone_SanDiego,Ozone_Harris,Ozone_Orange,Ozone_MiamiDade,Ozone_Dallas,Ozone_Riverside,Ozone_Queens
1290,2019-02-23,2020-11-09 18:00:00,0.04172727272727274,0.04107692307692307,0.025,0.04542857142857142,0.024875,0.04133333333333333,0.020999999999999998,0.04,0.038642857142857145,0.033
1291,2019-02-23,2020-11-09 19:00:00,0.034818181818181825,0.03753846153846153,0.02,0.036571428571428574,0.014866666666666669,0.034333333333333334,0.019000000000000003,0.027333333333333334,0.03214285714285714,0.034
1292,2019-02-23,2020-11-09 20:00:00,0.02931818181818183,0.030153846153846156,0.017,0.03585714285714286,0.010187500000000002,0.025666666666666667,0.0205,0.029666666666666664,0.026714285714285715,0.032
1293,2019-02-23,2020-11-09 21:00:00,0.02804545454545456,0.02415384615384615,0.012,0.03071428571428572,0.011250000000000003,0.022000000000000002,0.020499999999999997,0.031,0.02264285714285714,0.032
1294,2019-02-23,2020-11-09 22:00:00,0.02845454545454547,0.015583333333333333,0.007,0.030428571428571433,0.017,0.014333333333333332,0.0215,0.0,0.01921428571428571,0.029
1295,2019-02-23,2020-11-09 23:00:00,0.027545454545454554,0.013923076923076923,0.012,0.027857142857142858,0.030562500000000003,0.009333333333333332,0.022,0.03133333333333333,0.017,0.023
1296,2019-02-24,2020-11-09 00:00:00,0.02677272727272728,0.009923076923076923,0.02,0.02542857142857143,0.03187500000000001,0.010333333333333333,0.0215,0.038,0.01925,0.021
1297,2019-02-24,2020-11-09 01:00:00,0.02686363636363637,0.009615384615384614,0.013,0.016,0.030875000000000014,0.010333333333333333,0.0225,0.03733333333333333,0.017857142857142856,0.017
1298,2019-02-24,2020-11-09 02:00:00,0.02627272727272728,0.009538461538461539,0.015,0.019,0.02625000000000001,0.009333333333333334,0.022,0.03733333333333333,0.018846153846153842,0.02
1299,2019-02-24,2020-11-09 03:00:00,0.025454545454545462,0.009923076923076923,0.025,0.029333333333333333,0.025750000000000002,0.010333333333333333,0.022,0.03766666666666666,0.017076923076923076,0.022
1300,2019-02-24,2020-11-09 04:00:00,0.025090909090909098,0.010692307692307694,0.023,0.023000000000000003,0.02587500000000001,0.009,0.020999999999999998,0.03733333333333333,0.016083333333333335,0.023
1301,2019-02-24,2020-11-09 05:00:00,0.02445454545454546,0.010692307692307694,0.027,0.02342857142857143,0.02618750000000001,0.009,0.0215,0.03566666666666667,0.015615384615384618,0.023
1302,2019-02-24,2020-11-09 06:00:00,0.025000000000000005,0.010384615384615384,0.04,0.02142857142857143,0.02625000000000001,0.009333333333333334,0.0195,0.033,0.014230769230769229,0.027
1303,2019-02-24,2020-11-09 07:00:00,0.02323809523809525,0.01276923076923077,0.043,0.021857142857142856,0.02687500000000001,0.009,0.0165,0.03166666666666667,0.016923076923076923,0.032
1304,2019-02-24,2020-11-09 08:00:00,0.026000000000000006,0.02307692307692308,0.045,0.025,0.030875000000000014,0.018,0.022,0.034,0.024785714285714293,0.031
1305,2019-02-24,2020-11-09 09:00:00,0.032142857142857154,0.03238461538461539,0.046,0.03314285714285715,0.03456250000000001,0.028999999999999998,0.0235,0.03933333333333333,0.03442857142857143,0.031
1306,2019-02-24,2020-11-09 10:00:00,0.03680952380952381,0.038769230769230764,0.05,0.03957142857142857,0.036875,0.037,0.0235,0.042666666666666665,0.04214285714285714,0.03
1307,2019-02-24,2020-11-09 11:00:00,0.041047619047619055,0.044230769230769226,0.05,0.04228571428571428,0.038625,0.04566666666666666,0.0245,0.044333333333333336,0.047214285714285716,0.03
1308,2019-02-24,2020-11-09 12:00:00,0.043619047619047634,0.047692307692307694,0.049,0.04585714285714286,0.04025,0.049999999999999996,0.026000000000000002,0.046000000000000006,0.050071428571428586,0.013
