,Ozone Mean (ppm),Ozone Max (ppm),ozone_threshold,popSize_greater4mill,popSize_less4million,County_Dallas,County_Harris,County_LosAngeles,County_Maricopa,County_MiamiDade,County_Orange,County_Queens,County_Riverside,County_SanDiego,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Mar,month_May,month_Nov,month_Oct,month_Sep,popSize_less4million
37,-0.5767739453640738,-0.1540739118721211,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,-0.5930190945163547,-0.06955223978795404,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,-1.076964406073636,-0.8201046878953577,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,-0.5106258349027244,0.16710844204771474,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,0.4797525059402943,0.24003857053176567,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,-0.16987316417832005,0.2719153154320808,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,-0.8535753884651958,-0.7727725515282242,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,-1.270722888203623,-1.1377451812707131,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,-0.7233934916445272,-0.24535731772302172,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,0.5166812336843959,0.23134491283168024,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,0.15842298291840254,-0.005315769003986966,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,0.6236881241187845,-0.018839236537453473,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,-0.1868186780615251,-0.11012264238835458,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,-0.19656527829359535,-0.007891667581790551,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
